   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      204    0.000    0.000    0.010    0.000 validation.py:56(safe_asarray)
        1    0.000    0.000    0.000    0.000 validation.py:82(as_float_array)
        1    0.021    0.021    0.021    0.021 {cv2.imread}
       25    0.000    0.000    0.000    0.000 {getattr}
       18    0.000    0.000    0.000    0.000 {hasattr}
     1309    0.001    0.000    0.001    0.000 {isinstance}
        7    0.000    0.000    0.000    0.000 {issubclass}
      941    0.000    0.000    0.000    0.000 {len}
        1    0.000    0.000    0.000    0.000 {max}
        1    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
        2    0.000    0.000    0.000    0.000 {method '__subclasshook__' of 'object' objects}
        3    0.000    0.000    0.000    0.000 {method 'acquire' of 'thread.lock' objects}
        4    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      314    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
      161    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
       40    0.000    0.000    0.000    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
      104    0.007    0.000    0.007    0.000 {method 'fill' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        3    0.000    0.000    0.000    0.000 {method 'flush' of 'file' objects}
        6    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'mean' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
       10    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       10    0.000    0.000    0.000    0.000 {method 'randint' of 'mtrand.RandomState' objects}
       40    0.000    0.000    0.000    0.000 {method 'random_sample' of 'mtrand.RandomState' objects}
      751    0.037    0.000    0.037    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        3    0.000    0.000    0.000    0.000 {method 'release' of 'thread.lock' objects}
        2    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        9    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       40    0.000    0.000    0.000    0.000 {method 'searchsorted' of 'numpy.ndarray' objects}
        1    0.596    0.596    0.596    0.596 {method 'shuffle' of 'mtrand.RandomState' objects}
      695    0.001    0.000    0.038    0.000 {method 'sum' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.000    0.000 {method 'tolist' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.000    0.000 {method 'write' of 'file' objects}
      102    0.056    0.001    0.056    0.001 {numpy.core._dotblas.dot}
        1    0.007    0.007    0.007    0.007 {numpy.core.multiarray.arange}
      830    0.023    0.000    0.023    0.000 {numpy.core.multiarray.array}
       52    0.004    0.000    0.004    0.000 {numpy.core.multiarray.copyto}
      104    0.015    0.000    0.015    0.000 {numpy.core.multiarray.einsum}
      166    0.001    0.000    0.001    0.000 {numpy.core.multiarray.empty}
       11    0.000    0.000    0.000    0.000 {numpy.core.multiarray.zeros}
        1    0.013    0.013    0.013    0.013 {numpy.lib._compiled_base.bincount}
        3    0.000    0.000    0.000    0.000 {posix.getpid}
      114    0.000    0.000    0.000    0.000 {range}
       51    0.000    0.000    0.003    0.000 {sklearn.cluster._k_means._centers_dense}
        3    0.000    0.000    0.000    0.000 {sys._getframe}
       18    0.000    0.000    0.000    0.000 {thread.get_ident}
        3    0.000    0.000    0.000    0.000 {time.localtime}
        3    0.000    0.000    0.000    0.000 {time.strftime}
        7    0.000    0.000    0.000    0.000 {time.time}
        1    0.000    0.000    0.000    0.000 {zip}
